Negara,Tahun,RQ,GE,Size,FDI,TO
Vietnam,2022,-0.429956316947937,0.17549079656601,98186856,4.3624059864868,183.789541157224
Laos,2003,-1.35355937480927,-1.01234650611877,5689065,0.962969691363711,60.572095882788
Laos,2004,-1.30168402194977,-1.03074407577515,5768167,0.714895049062071,66.0797516222837
Laos,2005,-1.33819544315338,-1.2096973657608,5852970,1.01332132437858,71.7926462737852
Laos,2006,-1.28037881851196,-0.992693543434143,5946593,5.42138961728605,81.9613754162421
Laos,2007,-1.18676173686981,-0.909020006656647,6041348,7.66062749777557,79.2126289035269
Laos,2008,-1.13619911670685,-0.892137885093689,6135861,4.18200303606929,81.8491820941317
Laos,2009,-1.07293176651001,-0.962556421756744,6229930,5.45905949594973,76.930826218652
Laos,2010,-1.01609683036804,-0.868846118450165,6323418,3.90935018167503,84.7203378916677
Laos,2011,-0.97883015871048,-0.839057266712189,6416327,3.43702755895922,91.6986958680216
Laos,2012,-0.832189977169037,-0.84342086315155,6508803,6.06067602678934,98.1851264313662
Laos,2013,-0.85806941986084,-0.73419201374054,6600742,5.68624628337024,98.1791466159604
Laos,2014,-0.880769193172455,-0.416429966688156,6691454,6.53385086120159,99.0597382933399
Laos,2015,-0.845904052257538,-0.554707646369934,6787419,7.47075777292731,85.798321703681
Laos,2016,-0.756473004817963,-0.432825565338135,6891363,5.87774436155716,75.0918909204124
Laos,2017,-0.751458883285522,-0.416994154453278,6997917,9.91778683507173,0
Laos,2018,-0.824817895889282,-0.723398149013519,7105006,7.4856486219066,0
Laos,2019,-0.756039798259735,-0.816826343536377,7212053,4.03149139231071,0
Laos,2020,-0.840734362602234,-0.738060235977173,7319399,5.09807193491087,0
Laos,2021,-0.908926069736481,-0.615879833698273,7425057,5.69344695957329,0
Laos,2022,-0.987142562866211,-0.595122039318085,7529475,4.11025990512051,0
Singapura,2003,1.78525233268738,1.92824709415436,4114826,17.4624153696896,377.218564301581
Singapura,2004,1.76227986812592,2.0158543586731,4166664,21.2027237505542,401.523712538509
Singapura,2005,1.74680650234222,1.99800038337708,4265762,15.1133588478776,420.430512920559
Singapura,2006,1.75363004207611,2.24886965751648,4401365,26.3271523046736,425.363399543019
Singapura,2007,1.80886840820313,2.40786051750183,4588599,26.1619888768056,394.288471919078
Singapura,2008,1.86873841285706,2.46965980529785,4839396,7.02328608228291,437.326714891057
Singapura,2009,1.77574038505554,2.30715298652649,4987573,12.0710944143276,358.192811828842
Singapura,2010,1.78359937667847,2.28112554550171,5076732,23.0694716770803,369.685555787646
Singapura,2011,1.7832305431366,2.19381713867188,5183688,17.5960314065855,379.098631377539
Singapura,2012,1.95790207386017,2.20258617401123,5312437,18.7435244231802,369.212965787665
Singapura,2013,1.96010839939117,2.12852215766907,5399162,20.9344810446532,367.041780049019
Singapura,2014,2.22636008262634,2.21809077262878,5469724,21.8184880782679,360.467319166237
Singapura,2015,2.25223541259766,2.24877071380615,5535002,22.6541826890492,329.471398940262
Singapura,2016,2.17064332962036,2.21457314491272,5607283,20.4865236102582,303.222594459873
Singapura,2017,2.10863542556763,2.22528839111328,5612253,29.7636517525701,317.031896211998
Singapura,2018,2.12173795700073,2.23167037963867,5638676,21.7592915016982,326.723360427186
Singapura,2019,2.15443754196167,2.23171925544739,5703569,28.0949935764636,323.070429953395
Singapura,2020,2.20529913902283,2.28457260131836,5685807,23.1003005183608,331.690521725461
Singapura,2021,2.22689867019653,2.25011277198792,5453566,31.6207400179128,329.78497877736
Singapura,2022,2.21437835693359,2.14482593536377,5637022,29.8437975950876,332.981369857911
Myanmar,2003,-2.03189849853516,-1.29273951053619,46924293,2.3777576671811,0
Myanmar,2004,-2.34857296943665,-1.5750937461853,47338446,2.0001628964787,0
Myanmar,2005,-2.12752461433411,-1.53674149513245,47724471,1.95966396539679,0
